method,function_value,error,arguments,time_duration
diffrential evolution algorithm,2.4151165307318245e-10,2.4151165307318245e-10,"[5.455118207807035e-06, 4.452316263934479e-06, -1.3853888201437859e-05]",0.030935049057006836
diffrential evolution algorithm,2.352818276399081e-09,2.352818276399081e-09,"[-2.8270652420735626e-05, -2.9104185970398733e-05, -2.6580723223898202e-05]",0.029149293899536133
diffrential evolution algorithm,5.335990690280706e-09,5.335990690280706e-09,"[-3.4552646336755794e-05, -8.704982572899241e-06, -6.376777085498052e-05]",0.027917146682739258
diffrential evolution algorithm,7.895003149597788e-10,7.895003149597788e-10,"[-1.043891236464714e-05, -2.4088361072392028e-05, 1.0014004416269463e-05]",0.029605627059936523
diffrential evolution algorithm,2.808436510752998e-10,2.808436510752998e-10,"[1.645785895129496e-05, -1.4117911749784342e-06, -2.826548335485026e-06]",0.029563426971435547
diffrential evolution algorithm,5.77087448465179e-09,5.77087448465179e-09,"[7.1842320354096895e-06, -6.859168050219491e-05, 3.185031649133172e-05]",0.029341697692871094
diffrential evolution algorithm,5.4898041078382044e-11,5.4898041078382044e-11,"[3.0647162643353355e-06, -6.502595439164473e-06, 1.7949395120888916e-06]",0.030678749084472656
diffrential evolution algorithm,1.2046211313910872e-09,1.2046211313910872e-09,"[9.240825351990718e-06, -1.8742085521074439e-06, 3.3402329567087084e-05]",0.029893159866333008
diffrential evolution algorithm,2.043951626736438e-09,2.043951626736438e-09,"[3.2112715725604916e-05, -1.0728118289257915e-05, -2.996051724244117e-05]",0.02894759178161621
diffrential evolution algorithm,1.3278495914092488e-08,1.3278495914092488e-08,"[-0.00010415576555567081, 3.594896374564492e-05, -3.373046725467841e-05]",0.029303789138793945
diffrential evolution algorithm,1.3375412546841845e-08,1.3375412546841845e-08,"[4.0292394034802826e-05, -9.845898528527126e-05, 4.5362580905199476e-05]",0.028146028518676758
diffrential evolution algorithm,5.060810803689905e-09,5.060810803689905e-09,"[-7.652210709036496e-06, -2.5981333472540693e-05, -6.578164474945157e-05]",0.028227806091308594
diffrential evolution algorithm,1.2745538299689702e-09,1.2745538299689702e-09,"[-1.764975702368646e-05, -3.08853227563116e-05, -3.0227049495876223e-06]",0.028296709060668945
diffrential evolution algorithm,1.4158898464470212e-09,1.4158898464470212e-09,"[3.0314779420012955e-05, -5.254394934776106e-06, -2.1663225268467744e-05]",0.04250526428222656
diffrential evolution algorithm,4.880453778572682e-09,4.880453778572682e-09,"[-3.734936450909715e-05, 5.015716482547032e-05, -3.114060959599026e-05]",0.028367042541503906
diffrential evolution algorithm,6.224249921718106e-10,6.224249921718106e-10,"[-1.802253845592151e-05, 5.3266822852986665e-06, 1.6408520823283436e-05]",0.028575658798217773
diffrential evolution algorithm,4.54500385564529e-09,4.54500385564529e-09,"[-5.197150543321798e-06, -6.0077767513958165e-05, -3.01439103703241e-05]",0.02925252914428711
diffrential evolution algorithm,1.47944765905009e-09,1.47944765905009e-09,"[6.67667898613533e-06, 3.7867901659802494e-05, -9.442672554506765e-07]",0.027785778045654297
diffrential evolution algorithm,1.263008398237467e-09,1.263008398237467e-09,"[2.641660666598752e-05, -6.221712929668277e-06, 2.2944750569852997e-05]",0.0285341739654541
diffrential evolution algorithm,1.2561499298128458e-09,1.2561499298128458e-09,"[1.0933364596155213e-05, -3.3707775838486637e-05, -6.303304234462598e-07]",0.030115604400634766
diffrential evolution algorithm,3.086633162391422e-09,3.086633162391422e-09,"[2.1587686111052245e-05, 2.68123745252438e-05, -4.3608503105244985e-05]",0.030742168426513672
diffrential evolution algorithm,1.1452640820716444e-08,1.1452640820716444e-08,"[-0.00010678701326021719, 5.08924548495187e-06, 4.824334158465865e-06]",0.030247211456298828
diffrential evolution algorithm,4.6002709063368505e-10,4.6002709063368505e-10,"[1.1271752666907134e-05, -6.307020304691704e-06, -1.7122972210628724e-05]",0.030710697174072266
