method,function_value,error,arguments,time_duration,total_memory
diffrential evolution algorithm,8.436188831377192e-10,8.436188831377192e-10,"[2.0000115212958645, 1.9999911589805968]",0.24665093421936035,0.0

diffrential evolution algorithm,2.2429952434080464e-15,2.2429952434080464e-15,"[-2.365788927214268e-08, 2.0000000010261934]",0.25121068954467773,0.0

diffrential evolution algorithm,8.398619394475419e-09,8.398619394475419e-09,"[-4.198330687119387e-05, 1.9999816427404422]",0.24814391136169434,0.0

diffrential evolution algorithm,9.798769020891716e-07,9.798769020891716e-07,"[-0.00024018799367485583, 0.00043283504605158747]",0.2474071979522705,0.0

diffrential evolution algorithm,1.20226521930733e-14,1.20226521930733e-14,"[2.0000000459466176, -2.9909384039803954e-08]",0.2490537166595459,0.0

diffrential evolution algorithm,1.4110276874203363e-08,1.4110276874203363e-08,"[-2.2635844952409516e-05, -5.490911208316015e-05]",0.2497999668121338,0.0

diffrential evolution algorithm,8.948623249025325e-08,8.948623249025325e-08,"[2.0001266453667044, -7.956113529469593e-05]",0.2505910396575928,0.0

diffrential evolution algorithm,2.478977176295821e-07,2.478977176295821e-07,"[2.000079697372275, 1.9997641284797507]",0.24593853950500488,0.0

diffrential evolution algorithm,5.598435853824648e-08,5.598435853824648e-08,"[1.9998838825958885, 2.0000226802121923]",0.25150012969970703,0.0

diffrential evolution algorithm,1.978551079681347e-10,1.978551079681347e-10,"[-6.542956065145237e-06, 2.579387519680858e-06]",0.24883556365966797,0.0

diffrential evolution algorithm,7.749426265730457e-08,7.749426265730457e-08,"[1.9999022495778083, 9.909756691654401e-05]",0.24905037879943848,0.0

diffrential evolution algorithm,8.825200329127879e-09,8.825200329127879e-09,"[1.9999543976795346, -1.1261520965523514e-05]",0.2497565746307373,0.0

diffrential evolution algorithm,1.563578869049592e-08,1.563578869049592e-08,"[2.819609004246857e-05, 1.9999441956643762]",0.23214435577392578,0.0

diffrential evolution algorithm,5.6460066160986334e-11,5.6460066160986334e-11,"[3.7538990297128065e-06, -1.5268107412303238e-07]",0.232863187789917,0.0

diffrential evolution algorithm,2.03381977992741e-07,2.03381977992741e-07,"[2.000196585006049, 2.0001104123466913]",0.23221492767333984,0.0

diffrential evolution algorithm,1.7121016230149128e-14,1.7121016230149128e-14,"[1.9999999929929047, 6.504732852227746e-08]",0.23212885856628418,0.0

diffrential evolution algorithm,4.803710171746126e-08,4.803710171746126e-08,"[1.9999859363619539, -0.00010867478451364503]",0.23493170738220215,0.0

diffrential evolution algorithm,4.521030959833227e-08,4.521030959833227e-08,"[8.461296405085441e-05, -6.43705114776022e-05]",0.23111319541931152,0.0

diffrential evolution algorithm,1.0046996038718845e-12,1.0046996038718845e-12,"[1.9999995255324907, 1.9999998385825455]",0.25060176849365234,0.0

diffrential evolution algorithm,6.890531414393016e-14,6.890531414393016e-14,"[-1.2303142162237816e-07, -4.5712097651997934e-08]",0.24885058403015137,0.0

diffrential evolution algorithm,7.073097207338537e-07,7.073097207338537e-07,"[2.0001809754881603, 0.000379636780197583]",0.24675297737121582,0.0

diffrential evolution algorithm,4.878829659208129e-09,4.878829659208129e-09,"[2.4880342641632426e-05, -2.4508705485165963e-05]",0.24857735633850098,0.0

diffrential evolution algorithm,2.1663648132348542e-16,2.1663648132348542e-16,"[1.9999999993109934, 1.9999999926730367]",0.25092411041259766,0.0

diffrential evolution algorithm,3.8371471434080294e-09,3.8371471434080294e-09,"[-3.096591569929162e-05, 6.07583663240612e-07]",0.24764513969421387,0.0

diffrential evolution algorithm,2.0916918441506188e-09,2.0916918441506188e-09,"[8.140524931790974e-08, 2.286762541855894e-05]",0.2478024959564209,0.0

diffrential evolution algorithm,3.2126471658095767e-09,3.2126471658095767e-09,"[1.9999794556802117, -1.9521627682062242e-05]",0.25116658210754395,0.0

diffrential evolution algorithm,9.65072036952856e-10,9.65072036952856e-10,"[1.999989280397926, 1.9999887589683383]",0.248307466506958,0.0

